timestamp_utc,dataset,env,model,seed,device,fold,epochs,final_train_accuracy,final_train_loss,validation_loss,validation_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1,balanced_accuracy,total_parameters,trainable_parameters,non_trainable_parameters,inference_forward_time_s,inference_latency_ms_per_sample,inference_latency_ms_per_batch,inference_throughput_samples_per_s,training_time_s,evaluation_time_s,total_runtime_s,checkpoint_path
2026-03-31T01:04:01.320605,multienv,E2,PA-CSI,42,CPU,0,200,0.9987499713897705,0.0031795238610357046,0.8040462136268616,0.8133333325386047,0.7463426955703844,0.717361111111111,0.7111636939011082,0.8021798694567573,0.8133333333333334,0.7984839483289107,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.717361111111111,1566362,1566002,360,0.3593526035081595,44.91907543851994,359.3526035081595,22.26225696405272,32100.694735461962,18.445043200976215,32119.13977866294,checkpoints/multienv_E2_42/best.h5
2026-03-31T01:09:24.481849,multienv,E3,PA-CSI,42,CPU,0,200,1.0,0.0006936686113476753,1.303814172744751,0.8066666722297668,0.7529150020267591,0.7159722222222222,0.7283067046542051,0.8005623748517805,0.8066666666666666,0.8004267598489486,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.7159722222222222,1566362,1566002,360,0.3481402174493269,43.51752718116586,348.1402174493269,22.979246863842814,32423.367749555,18.256719026998326,32441.624468582,checkpoints/multienv_E3_42/best.h5
2026-03-31T01:33:22.516158,multienv,E1,PA-CSI,42,CPU,0,200,0.9833333492279053,0.057866305112838745,0.3297479748725891,0.9483333230018616,0.936259844661873,0.9381944444444446,0.9369308118298999,0.9491123923401741,0.9483333333333334,0.9484974159956336,0.9483333333333334,0.9483333333333334,0.9483333333333334,0.9381944444444446,1566362,1566002,360,0.4604319986188784,57.5539998273598,460.4319986188784,17.37498702087815,33859.22337428108,18.84613110590726,33878.069505386986,checkpoints/multienv_E1_42/best.h5
2026-03-31T03:36:00.859463,mine,E1,PA-CSI,42,CPU,1,200,1.0,0.0,0.04135779291391373,0.99245285987854,0.9920634920634921,0.9914529914529915,0.9915489944373128,0.9928122192273134,0.9924528301886792,0.9924455639789765,0.9924528301886792,0.9924528301886792,0.9924528301886792,0.9914529914529915,5562722,5561642,1080,0.6688102908898145,83.60128636122681,668.8102908898145,11.961538434697902,41190.41684152,26.425769045948982,41216.842610565946,checkpoints/mine_E1_42_fold1/best.h5
2026-03-31T15:03:01.253799,mine,E1,PA-CSI,42,CPU,2,200,1.0,0.0,0.024827148765325546,0.99622642993927,0.9964539007092199,0.9957264957264957,0.9960433831401573,0.9963067041348855,0.9962264150943396,0.9962221993871416,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.9957264957264957,5562722,5561642,1080,0.6671301531838253,83.39126914797816,667.1301531838253,11.991663038794814,41176.93235330796,26.486511292867362,41203.418864600826,checkpoints/mine_E1_42_fold2/best.h5
2026-04-01T15:48:59.796764,mine,E1,PA-CSI,42,CPU,2,200,1.0,0.0,0.014100856147706509,0.99622642993927,0.996031746031746,0.9957264957264957,0.9958274657069838,0.9963162623539982,0.9962264150943396,0.9962246437354417,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.9957264957264957,5562722,5561642,1080,0.5621234177495353,70.26542721869191,562.1234177495353,14.231750087957643,27783.110591376026,18.953887937008403,27802.064479313034,checkpoints/mine_E1_42_fold2/best.h5
2026-04-01T15:55:20.930737,mine,E1,PA-CSI,42,CPU,1,200,1.0,0.0,0.04402594640851021,0.99245285987854,0.9920634920634921,0.9914529914529915,0.9915489944373128,0.9928122192273134,0.9924528301886792,0.9924455639789765,0.9924528301886792,0.9924528301886792,0.9924528301886792,0.9914529914529915,5562722,5561642,1080,0.6862092661613133,85.77615827016416,686.2092661613133,11.658251199014513,28161.65322267299,19.57799027004512,28181.231212943036,checkpoints/mine_E1_42_fold1/best.h5
2026-04-01T16:49:07.095840,mine,E1,PA-CSI,42,CPU,3,200,1.0,0.0,0.00524132838472724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5562722,5561642,1080,0.6074903647997416,75.9362955999677,607.4903647997417,13.168933144539979,31388.80108644499,19.95036740100477,31408.751453845995,checkpoints/mine_E1_42_fold3/best.h5
2026-04-01T17:31:05.930761,mine,E1,PA-CSI,42,CPU,4,200,1.0,0.0,0.02826733887195587,0.9962121248245239,0.9965277777777777,0.9958333333333332,0.9961359093937375,0.9962910353535352,0.9962121212121212,0.9962080834998891,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.9958333333333332,5562722,5561642,1080,1.0304433570476248,128.8054196309531,1030.4433570476249,7.76364847740996,25770.577833449934,16.187537467107177,25786.76537091704,checkpoints/mine_E1_42_fold4/best.h5
2026-04-01T23:49:04.967527,mine,E1,PA-CSI,42,CPU,5,200,1.0,0.0,0.0051458957605063915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5562722,5561642,1080,0.5817441204941133,72.71801506176416,581.7441204941133,13.751750500211463,27906.426914271025,18.40252807404613,27924.82944234507,checkpoints/mine_E1_42_fold5/best.h5
2026-04-02T01:20:35.435160,multienv,E1,PA-CSI,42,CPU,0,200,1.0,1.7591815776540898e-05,0.33751964569091797,0.95333331823349,0.9512511595844929,0.9444444444444445,0.9474869054936037,0.9539138405805073,0.9533333333333334,0.9534296398349985,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9444444444444445,1566362,1566002,360,0.3783898034482263,47.29872543102829,378.3898034482263,21.142218757209747,29213.82294995198,17.72311149095185,29231.546061442932,checkpoints/multienv_E1_42_cw/best.h5
2026-04-02T05:08:15.285570,multienv,E2,PA-CSI,42,CPU,0,200,0.9825000166893005,0.04669550061225891,1.044312596321106,0.8450000286102295,0.8057147001146526,0.7777777777777778,0.7847342503269082,0.8441355801100876,0.845,0.8415927252961047,0.845,0.845,0.845,0.7777777777777778,1566362,1566002,360,0.3424533794997842,42.806672437473026,342.4533794997842,23.360844070762166,25214.358796288987,15.003540498000802,25229.362336786988,checkpoints/multienv_E2_42_cw/best.h5
2026-04-02T06:48:13.384249,multienv,E3,PA-CSI,42,CPU,0,200,1.0,0.0002863158006221056,1.0958858728408813,0.8216666579246521,0.7737880678098068,0.7569444444444445,0.7635636385968286,0.8172386228907967,0.8216666666666667,0.8180070974900391,0.8216666666666667,0.8216666666666667,0.8216666666666667,0.7569444444444445,1566362,1566002,360,0.3449452866334468,43.11816082918085,344.9452866334468,23.192083817342116,24947.12090095901,14.998128923005424,24962.119029882015,checkpoints/multienv_E3_42_cw/best.h5
2026-04-02T15:26:11.712953,stanwifi,E1,PA-CSI,42,CPU,0,200,0.99737948179245,0.006776825990527868,0.0021714488975703716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1566362,1566002,360,1.7607960711524355,55.02487722351361,1760.7960711524356,18.173598024361844,79860.07111364097,40.91418699402129,79900.98530063499,checkpoints/stanwifi_E1_42/best.h5
